status,city,state,country,classification,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,reason_for_recall_simplified,recall_initiation_date,center_classification_date,report_date,code_info,termination_date
Ongoing,City Of Industry,CA,United States,2,90613,"Crown Prince, Inc",18581 Railroad St,,91748-1316,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution to the following: nationwide.  No foreign distribution.,F-1551-2022,Crown Prince Quality Natural Seafood Smoked Baby Clams Hand Packed in Olive Oil From Managed Fisheries NET WT. 3 oz. (35g) UPC 0 73230 00853 5,"211,716 cans",Detectable levels of Per- and polyfluoroalkyl substances (PFAS).,PFAS,2022-07-15,2022-08-12,2022-08-24,All lot codes associated with can UPC 0 73230 00853 5 ,NA
Ongoing,San Diego,CA,United States,2,90571,"Bumble Bee Foods, LLC",280 10th Ave,,92101-7406,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: AZ, CA, DE, FL, IL, IN, NJ, NV, NY, OH, PA, TX, VA  No foreign distribution.",F-1508-2022,"Bumble Bee Smoked Clams  Shucked Easy Open  NET WT. 3.75 oz. (106 g) Distributed By: Bumble Bee Seafoods San Diego, CA 92186 USA Product of China UPC 0 86600 75234 1","9,756 cases",Detectable levels of Per- and polyfluoroalkyl substances (PFAS).,PFAS,2022-07-06,2022-07-26,2022-08-03,All lots associated with UPC Label 8660075234 ,NA
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2515-2017,"Item 12726 - CREAMY TUNA CASSEROLE WITH ROTINI AND VEGETABLES>24EA/CS, Frozen, Net. Wt. 26.26 lbs. per case","3,965 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2484-2017,"Item 10309 - WHITE WHOLE WHEAT HOT DOG BUNS, BULK>192CT(24@8EA)/CS, Frozen, Net wt. 27.28 lbs per case.","12,740 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg. dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2519-2017,"Item 12777 - BREADED FISH PATTY,  RICE AND VEGETABLES>24EA/CS, Frozen, Net. Wt. 22.51 lbs. per case","6,123 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2507-2017,"Item 11924 - BREAKFAST TRAY G>36 TRAYS/CS, Frozen, Net. Wt. 33.78  lbs. per case",170 lbs.,Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2509-2017,"Item 11948 - TURKEY LUNCH>36 TRAYS/CS, Frozen, Net. Wt. 24.84 lbs. per case","9,762 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2525-2017,"Item 14608 - VEGAN NAVY BEANS WITH MUSTARD SAUCE, RICE BLEND AND PEAS>24EA/CS, Frozen, Net. Wt. 29.11 lbs. per case","1,921 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2522-2017,"Item 14602 - VEGAN CHILI WITH MACARONI AND  GREEN BEANS>24EA/CS, Frozen, Net. Wt. 26.41 lbs. per case","1,992 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
Terminated,Airway Heights,WA,United States,1,77338,Correctional Industries Food Factory,11919 West Sprague Avenue,,99001,Voluntary: Firm Initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distribution in AZ, MT, NV, OR, and WA.",F-2476-2017,"Item 10075 - WHITE WHOLE WHEAT BREAD SLICES, I/W, 2PK>200CT/CS, Frozen, Net Wt. 32.28 lbs. per case.","81,144 lbs.",Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,PFAS,2017-05-18,2017-07-09,2017-07-19,"no codes, no expiration dates.  Mfg dates: April 1, 2017 to May 15, 2017. ",2017-08-31
